Layer,EntityType,GeometryType,VertexIndex,VertexCount,X,Y,Z,CoordinateSystem,IsClosed,Length_m,Area_sqm,Radius,Bulge,Rotation,Color,Notes,SourceFile,SourceFolder
M1200,LWPOLYLINE,Polygon,5,7,228523.201,717098.639,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,7,228524,717106.8,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,5,227089.269,723923.362,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,5,227084.17,723913.739,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,5,227081.177,723908.091,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,5,227112.882,723890.99,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,5,227121.039,723906.224,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,4,226968.4,724297.71,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,4,226945.365,724310.065,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,4,226934.262,724288.869,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,4,226957.309,724276.535,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,6,248395.69,749724.206,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,6,248288.457,749732.174,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,6,248250.507,749668.658,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,6,248173.073,749672.091,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,6,248172.036,749512.675,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,6,248244.276,749472.774,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,7,228219.02,728714.493,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,7,228262.904,728772.024,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,7,228244.108,728789.204,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,7,228180.322,728748.361,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,7,227908.84,728583.46,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,7,228020.995,728552.287,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,7,228162.958,728641.421,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,7,237269.888,718680.781,53.83,IG05/12,Yes,96.17,410.95,,0,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,7,237274.219,718671.093,53.83,IG05/12,Yes,96.17,410.95,,0,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,7,237239.479,718659.019,53.83,IG05/12,Yes,96.17,410.95,,0,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,7,237238.359,718661.062,53.83,IG05/12,Yes,96.17,410.95,,-0.026928,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,7,237234.637,718669.845,53.83,IG05/12,Yes,96.17,410.95,,0,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,7,237240.516,718671.51,53.83,IG05/12,Yes,96.17,410.95,,0,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,7,237251.43,718675.017,53.83,IG05/12,Yes,96.17,410.95,,0,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,10,234233.6,718881.77,0,IG05/12,Yes,915.296,11975.58,,0,,BYLAYER,,12010-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,10,234165.1,718907.39,0,IG05/12,Yes,915.296,11975.58,,0,,BYLAYER,,12010-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
